Date Entered,Time Entered,Date Due,Time Due,Type,Priority,Description,Contact,Comments,Date Complete,Time Complete,Status
2014/04/10,08:33:29,2014/04/10,10:00:00,Business,3,Ordering eMail 2014 Process - Create PPT to show current flow & potential solutions,Brindha,Created PPT and sent to Brindha,04/10/14,08:34:28,
2014/04/10,07:20:26,2014/04/10,07:00:00,Personal,1,Bike Wheel Call - Where?,Freewheel Midtown; Penn Cycle; Eric's,Bring it to Penn Cycle,04/10/14,16:22:33,Late
2014/04/07,07:54:54,2014/04/11,07:00:00,Personal,3,Minnehaha Lacrosse Tomorrow,Olivia,Saturday 4:30 at Cretin,04/11/14,09:39:58,Late
2014/04/02,12:47:09,2014/04/11,07:00:00,Business,3,Sue Hjerpe Last Day,,Said good-bye; see her and Adam at races; recycled her paper,04/11/14,15:54:52,Late
2014/03/14,14:15:26,2014/04/10,14:00:00,Business,2,B-Edit Michigan Training Course Work; Case/Exercises; Sylibus,,Finished 4/14/2014; demo 4/15/2014,04/15/14,07:59:11,Late
2014/04/15,16:32:01,2014/04/16,07:00:00,Business,3,Fleet Overview links sent,,Sent Overview; Levels; Applications; Tech Stack docs to the AMSTC team,04/16/14,12:29:17,Late
2014/04/15,08:03:52,2014/04/17,07:00:00,Personal,3,Rock Edits - Gurvinder Photo; Monika Edit/Photo,,,04/17/14,08:18:33,Late
2014/04/17,07:49:17,2014/04/17,16:00:00,Business,3,RPM - Download Button,Josh Hennagir,Added Download to both Compare and Update screens,04/17/14,10:45:19,
2014/04/16,14:58:03,2014/04/17,07:00:00,Business,3,ASA Double Slashes in Output File?,Veena,The problem was caused by using c:\ for the files; but after the fix there's security on the root; so the answer was to use files in a directory.,04/17/14,14:12:44,Late
2014/04/17,12:42:59,2014/04/21,07:00:00,Personal,2,Give Monika's Rock,Monika Mulani,Long talk; going to Chicago; runner; family in Singapore,04/17/14,15:45:03,
2014/04/16,15:00:11,2014/04/17,17:00:00,Business,2,Fix Recurring Month/Year - see TaskTrack-Recurring-Monthly-Yearly.txt,Task Tracker,,04/21/14,08:15:46,Late
2014/04/21,08:16:41,2014/04/21,10:00:00,Business,3,Haircut appointment setup,Judy Hart - Zena's,Thursday 4/24/2014 at 6:15,04/21/14,11:49:52,Late
2014/04/21,08:18:21,2014/04/21,07:00:00,Business,3,Iraq Rock Series,Sarah Kanan,Meeting Setup at 10:00 Tomorrow 4/22/2014,04/21/14,11:53:52,Late
2014/04/17,14:15:08,2014/04/22,07:00:00,Business,3,Confluency Overview for B-Edit,Ruchi Saxena,Ruchi setup meeting for next week.,04/22/14,09:17:16,Late
2014/04/17,08:18:38,2014/04/24,16:00:00,Personal,3,Big Bowl Donation,Puneeta/Sarah,Donated $40 (+$40 GE Match) 4/23/2014,04/24/14,07:23:42,
2014/03/28,15:46:15,2014/04/23,07:00:00,Personal,3,Lunch Setup?,Poh Im,Setup for 4/29 at 11:30,04/24/14,10:17:19,Late
2014/04/24,07:25:23,2014/04/25,16:00:00,Business,2,Add Search EFOBJ/PBOBJ; Add Tomorrow Filter,Task Tracker,Added Search; no need for Tomorrow Filter,04/25/14,08:32:14,
2014/04/21,08:21:37,2014/04/25,16:00:00,Business,3,Peter Lunch/Birthday Sunday,Peter Anderson - call,emailed to see if Sunday after church is ok for lunch to celebrate Peter's birthday,04/25/14,08:58:23,
2014/04/24,08:18:05,2014/04/25,11:00:00,Personal,3,Minnehaha Lacrosse vs Washburn at 5:30,Olivia,Good day for Lacross; 62f and Sunny!,04/25/14,09:10:03,
2014/04/24,16:01:06,2014/04/25,07:00:00,Business,1,RPM Demo Meeting Setup,Tim March/Tim Hundt/Craig Kellog,Setup meeting for May 5th,04/25/14,10:00:03,Late
2014/04/24,10:09:42,2014/04/25,13:00:00,Personal,2,Interior Paint Selection Tonight,Liz,Review with Liz tonight,04/25/14,13:37:27,Late
2014/04/03,13:55:55,2014/04/08,07:00:00,Business,2,Mainframe ID Unsuspended - Delgado; Ivonne  worked on it; New ticket REQ1563297 4/10/2014,,G1BYFBT reactivated and pw reset in TSO by Ivonne,04/25/14,13:37:56,Late
2014/04/25,14:15:06,2014/04/28,07:00:00,Business,2,Check for use of QTCN653; QTCN6160; QTCN637; QTCN650,Deepak Kanniappan,Finished downloading all COBOL; JCL; PROC; COPY from 3090; and sent out email to Deepak on findings,04/28/14,08:51:04,Late
2014/04/30,09:31:39,2014/04/30,11:00:00,Personal,1,XFer $ Justin Flight,Jess,Transferred $1500,04/30/14,12:45:30,Late
2014/04/09,11:20:38,2014/05/02,16:00:00,Business,3,ASA OK?; bad data in 2014_03_15_PROD_CH_Analysis.csv line 118?,Vivek/Veena,Corrected Firefox file read; multi-line double-quote carriage return split error; files with different number of lines.,05/01/14,10:27:09,
2014/05/02,08:05:44,2014/05/02,10:00:00,Personal,1,Maui Car Rental Setup,,Hertz Conf# 619334490F4,05/02/14,14:48:23,Late
2014/04/24,08:39:52,2014/05/02,09:00:00,Business,2,Mary Markos Funeral at 10:00,Annunciation Parish 525 W 54th St; Minneapolis,Bless you Mary,05/02/14,14:48:44,Late
2014/05/02,08:26:11,2014/05/02,10:00:00,Personal,2,Warrior Dash Signup - Forrest/Louella,Fitness Center,Paid $65 GEFS (Jody Graham) for Forrest/Liz -> Louella,05/02/14,16:12:34,Late
2014/04/25,14:12:40,2014/05/05,07:00:00,Business,1,Notify everyone about Hawaii Vacation Plans,,email sent for May 15 - May 22,05/05/14,07:56:09,Late
2014/04/17,08:24:50,2014/05/05,10:00:00,Business,1,Expense Report,Detroit - AMSTC,Sumitted AMSTC B-Edit expense report (including copy of Courtyard receipt),05/05/14,08:40:37,
2014/05/07,07:31:55,2014/05/07,09:00:00,Personal,2,My Fair Lady,Lou/Liz/Josh/Rachel,Front Row Tickets for July 9th,05/07/14,07:32:38,
2014/04/25,14:45:24,2014/05/02,07:00:00,Business,3,Udeploy Capabilities?,Aijuan Cai,Udeploy to move files; no editing,05/07/14,12:37:19,Late
2014/05/07,09:58:34,2014/05/07,16:00:00,Personal,2,Jessica Geroux Lunch Saturday,Jessica Geroux,Lunch plans for Saturday 12:00 or 1:00; depending on tiling project,05/07/14,14:42:38,
2014/05/07,11:07:34,2014/05/08,07:00:00,Business,1,TG4 Request 358808 OK?,Brian Kirchner,Quarterly Release run by Angelo - No architectural changes to note so the release is good to go,05/08/14,08:26:52,Late
2014/03/18,07:37:13,2014/05/09,16:00:00,Personal,2,Skydive under 18? Indoor?,Louella,Can't Skydive in US under 18,05/08/14,08:27:19,
2014/05/07,15:05:35,2014/05/08,07:00:00,Business,3,RPM User's Guide,Josh Hennagir,Created User's Guide,05/08/14,14:48:36,Late
2014/04/25,14:50:02,2014/05/09,07:00:00,Business,3,RPM Technical Document,,Completed User's Guide,05/08/14,14:56:00,
2014/05/07,14:42:57,2014/05/09,07:00:00,Personal,1,Lunch Saturday 12:00 or 1:00 depending on tiling project,Jessica Geroux,Plans for noon,05/09/14,08:12:15,Late
2014/05/05,08:53:05,2014/05/09,07:00:00,Personal,1,Mother's Day Sunday,Josh/Jess,Dinner plans,05/09/14,08:12:33,Late
2014/05/12,07:39:43,2014/05/13,16:00:00,Personal,1,Golf Tomorrow - Clubs in Car,,Ready to play for the first time this year!,05/13/14,07:48:58,
2014/05/13,09:03:27,2014/05/13,11:00:00,Business,1,RPM Exact File Match,Josh Hennagir; Tim Hundt,Added an Exact File Match checkbox to the Compare screen; including verification logic in case the report is blank and the checkbox wasn't checked.,05/13/14,09:05:28,
2014/05/05,10:32:33,2014/05/13,16:00:00,Personal,1,Hawaii Clothes - Shorts/Swimsuit/Shirts/Thin Light Pants,Forrest,Bought 2 Golf Galaxy shirts; Liz fixed the pants I wore at May and Manas' wedding.,05/13/14,11:21:40,
2014/05/13,15:21:16,2014/05/14,07:00:00,Business,2,RPM - Exact File Match opening CSV and additional file after downloads (2nd run?),,Couldn't reproduce the problem...,05/14/14,09:05:02,Late
2014/05/13,15:25:17,2014/05/14,07:00:00,Business,1,RPM and B-Edit Analysis summary docs for Colab,Tim Hundt,Wrote Colab documents for RPM; Task Tracker; and B-Edit Analysis system.,05/14/14,10:00:21,Late
2014/05/05,14:33:25,2014/05/14,14:00:00,Business,1,Vacation Tomorrow,Ext Absence,Added Outlook notification,05/14/14,15:02:09,Late
2014/05/27,15:05:25,2014/05/27,17:00:00,Business,2,RPM exact compare fixed for multiple files,Josh Hennagir,Changed systemcurr to run a bat file to correct the problem.,05/27/14,15:06:19,
2014/05/14,10:07:42,2014/05/23,12:00:00,Business,2,Printer setup,,Used \\fltepmnpfiprp\B3F2CNTRWEST,05/28/14,13:26:13,Late
2014/05/13,16:01:34,2014/05/27,07:00:00,Business,2,B-Edit Applications; and BEDIT/BEDITWIN code in version control,Tim Hundt,Added Bedit; beditwin; and all programs into SVN under https://openge.ge.com/svn/gecaci; but need to move to other directory away from gecaci.,05/29/14,15:50:38,Late
2014/05/29,12:06:40,2014/05/29,14:00:00,Business,1,Setup Govern Meeting with Australia,,Setup with Sanjiv Singh at 5:00pm Monday 6/2; which is 8:00AM 6/3 in Australiia.,05/30/14,08:22:50,Late
2014/03/18,07:36:38,2014/05/30,07:00:00,Personal,3,Mystic Lake/Shout House July Schedule,Louella,Looked up a number of comedy clubs in Minneapolis (ACME Comedy Co; Shout House; Comedy Sportz; Brave New Workshop),05/30/14,09:09:03,Late
2014/05/30,13:05:21,2014/05/30,15:00:00,Business,2,CA-MTE Archtiecture Diagram with SFTP via Appworx,Donna Young,Uploaded from C:\Users\213000864\Documents\Docu\architecture\ART\CA-MTE to http://libraries.ge.com/foldersIndex.do?entity_id=43461675101&sid=101&SF=1 ,05/30/14,13:06:48,
2014/05/05,14:30:01,2014/06/02,07:00:00,Personal,1,Olivia Graduation Party 6/8,Olivia West,,06/02/14,08:45:42,Late
2014/04/17,14:09:26,2014/06/02,07:00:00,Business,2,CA-MTE Appworx SFTP to FIPR Document,Donna Young/Check with Prameela,Sent 6/30/2014,06/02/14,08:47:20,Late
2014/05/29,12:06:20,2014/06/02,16:00:00,Business,2,Review Security Projects,,Quick review of all projects Brian sent.,06/02/14,10:36:38,
2014/05/05,14:30:41,2014/06/06,07:00:00,Personal,1,Olivia Graduation Party 6/8,Olivia West,Buy card tonight.,06/06/14,07:47:20,Late
2014/05/30,12:48:10,2014/06/06,07:00:00,Personal,1,Sabrina - Go Fund Me,Sabrina Spork,Donated $100,06/06/14,08:18:40,Late
2014/05/30,10:38:38,2014/06/09,12:00:00,Business,1,July Vacation,Neil/Brian,Sent email 6/9/2014 at 10:10am,06/09/14,10:09:17,
2014/05/27,15:23:11,2014/05/28,07:00:00,Business,1,Governance - C:\Users\213000864\Documents\Docu\architecture\Govern,Brian Kirchner,Setup Chrome on Laptop,06/09/14,15:41:52,Late
2014/05/29,16:11:59,2014/05/30,07:00:00,Business,3,SDLC Analytics Favorite: http://3.162.142.223:9090/sdlcanalytics,Brian Kirchner,Setup Chrome on Laptop,06/09/14,15:42:42,Late
2014/06/09,13:51:40,2014/06/10,07:00:00,Business,2,TG2 Continuous Delivery Requirements,Mike/Igor/Aijuan->Angelo,Got the Continuous Delivery Wiki link from Mike; and passed on instructions to Angelo.,06/10/14,12:01:28,Late
2014/06/10,15:10:27,2014/06/11,07:00:00,Business,2,Governance - ITG 383223 - Sould ITG/PPM upgrade be included in CD?,Brian Kirchner,Brian's Answer: "I think you can opt out completely from that one",06/11/14,07:45:29,Late
2014/06/12,07:21:40,2014/06/12,07:00:00,Personal,1,Setup Ascensus Beneficiary,Liz Bentley,,06/12/14,08:08:26,Late
2014/04/25,13:34:17,2014/06/09,07:00:00,Business,3,RPM Demo,Brian Kirchner/Shawn Passmore,Demo to Brian 6/10/2014,06/12/14,13:43:20,Late
2014/06/12,11:05:53,2014/06/12,13:00:00,Business,1,Governance - Decision Tree,Brian Kirchner,Met with Brian 6/12/2014 at 2:00; and created diagram,06/12/14,15:45:24,Late
2014/05/30,07:40:05,2014/06/13,09:00:00,Personal,3,Outdoor Service on Sunday,St. Peders,Reminder marked on paper,06/13/14,10:03:44,Late
2014/06/12,16:28:22,2014/06/13,07:00:00,Business,1,Send Goveranance Flow,Brian Kirchner,Sent 6/12/2014,06/13/14,10:04:01,Late
2014/06/10,12:49:03,2014/06/13,07:00:00,Personal,2,eMail Rachel - Have a great trip,Rachel West,Sent email 6/13/2014 at 10:00am,06/13/14,10:07:55,Late
2014/06/12,08:08:28,2014/06/13,07:00:00,Personal,1,Add Ascensus beneficiaries,Liz; Josh; and Jess,Your beneficiary designation has been completed as of 06/13/2014 at 11:50:00 a.m. ET. Your confirmation number for this designation is 1640000044299,06/13/14,10:50:28,Late
2014/06/13,15:28:27,2014/06/16,07:00:00,Business,2,Send B-Edit and RPM files to Leroy,Leroy Wilson,Sent files to Leroy 6/17/2014 at 2:57pm,06/17/14,14:58:00,Late
2014/06/17,07:30:06,2014/06/17,09:00:00,Personal,1,Liz(Jess-Small?); Josh(Size?); Rachel(Size?) Torchlight 5K,Jess; Josh; Rachel,Liz and Jess stopped at Marathon Sports today to register; and got the bibs and shirts.,06/18/14,15:46:36,Late
2014/06/19,07:35:07,2014/06/19,09:00:00,Business,2,Merge A-Doc with Security Doc,Syed Hussaini,First draft complete in Word document,06/19/14,08:49:42,
2014/03/18,07:33:50,2014/06/20,07:00:00,Personal,2,Jess/Justin Furniture for Wedding,Jess,Gave Jess $5000 for Justin's recording instead.,06/20/14,07:15:37,Late
2014/06/09,15:42:43,2014/06/10,07:00:00,Business,1,Governance - C:\Users\213000864\Documents\Docu\architecture\Govern,Brian Kirchner,Setup rythmn,06/20/14,07:18:27,Late
2014/06/10,15:03:10,2014/06/11,07:00:00,Business,2,Governance - Documentation Review using XLS in place of Wiki,Brian Kirchner,OK to use XLS; talked to Mike about putting it into SDLC,06/20/14,07:19:13,Late
2014/06/20,07:25:19,2014/06/20,09:00:00,Business,1,Change SSO Password,,Josh987,06/20/14,08:53:09,
2014/06/20,07:16:46,2014/06/20,09:00:00,Personal,1,Painting Photo,Sarah Kanan,Sent 4 photos to choose from,06/20/14,10:58:45,Late
2014/06/20,07:16:09,2014/06/20,09:00:00,Personal,1,Haircut Appointment,Zena's Judy Hart,Set for 6/24/2014 at 5:15pm,06/20/14,11:03:41,Late
2014/06/20,07:41:37,2014/06/20,09:00:00,Personal,2,Walk - Photos of creek for Louella; groceries; bills,,Very overflowed creek! It's getting hot and humid now too!,06/20/14,12:34:00,Late
2014/06/20,07:42:38,2014/06/20,09:00:00,Business,1,Buy wall paint,,Bought on Friday; painted on Saturday after helping Paul & Kaelin pack for move,06/23/14,07:03:24,Late
2014/06/20,11:02:33,2014/06/23,16:00:00,Personal,1,Haircut Tomorrow - Bring Check,Judy Hart,Have check ready,06/23/14,07:50:45,
2014/06/23,15:56:33,2014/06/23,17:00:00,Personal,2,Valleyfair Saturday August 16th,Liz; Jess; Josh; Rachel,All want to go!,06/24/14,15:31:48,Late
2014/05/27,15:06:23,2014/06/25,17:00:00,Personal,2,Louella Graduation,Louella Dent,Louella sent email today about her graduation! Just 1 week until she's here!,06/25/14,07:41:37,
2014/06/24,08:12:50,2014/06/24,10:00:00,Personal,2,Paul/Kaelin visit Thursday,Jess/Josh/Rachel,Sent text this morning; Rachel sounds interested.,06/25/14,10:16:03,Late
2014/06/24,16:08:30,2014/06/25,07:00:00,Business,2,Task Tracker: Help starts User's Guide; Show Daily tasks in Views,Forrest,Completed,06/25/14,10:22:08,Late
2014/06/25,10:27:09,2014/06/26,07:00:00,Business,1,Sococo Screen Share,Mike/Igor/Aijuan,Can't share in Lobby; must be in a meeting room that allows screen sharing; then click ^ at the bottom of the screen.,06/26/14,09:11:07,Late
2014/06/26,09:09:58,2014/06/26,07:00:00,Personal,1,Paul and Kaelin visit tonight a bit after 5:00,Kaelin,I called Kaelin; and they're coming. I warned them I'm biking; and might not be home until 5.,06/26/14,13:27:50,Late
2014/06/26,09:09:58,2014/06/26,07:00:00,Personal,1,Paul and Kaelin visit tonight a bit after 5:00,Kaelin,Called Kaelin; they're coming. I warned her that I biked today so I might not be home until 5.,06/26/14,14:57:40,Late
2014/06/25,10:16:06,2014/06/27,07:00:00,Personal,1,Eclipse to Westside VW at 3:30,Josh,On calenday; and sent Josh a text.,06/27/14,11:47:57,Late
2014/06/26,15:28:34,2014/06/27,07:00:00,Business,2,Update Task Tracker User's Guide with Drag/Drop Capability,,Updated documentation with both drag/drop and bubble help.,06/27/14,14:46:00,Late
2014/06/26,08:08:44,2014/06/30,16:00:00,Personal,2,Barnes & Noble Gift Card,Liz Bentley,Printed at work,06/30/14,08:53:36,
2014/06/25,10:25:18,2014/07/01,12:00:00,Business,2,Task Track View Drag/Drop Tasks,Forrest,Completed 6/27/2014; plus bubble task displays,06/30/14,08:56:04,
2014/06/26,14:57:43,2014/06/30,07:00:00,Business,3,B-Edit Review/Design for Java,Mike Yushchenko,Met with Mike 6/30/2014 at 9:30 and described high level B-Edit. Mike's going to think about Groovy and Java-8 conversion.,06/30/14,10:18:34,Late
2014/07/01,07:47:47,2014/07/01,09:00:00,Business,1,Publish EA Governance XLS,,Published to: http://libraries.ge.com/foldersIndex.do?p_id=0&ohr_id=213000864&entity_id=31000646101&sid=101&SF=1#31000646101,07/01/14,08:27:30,
2014/06/27,14:49:22,2014/07/01,07:00:00,Business,1,Governance Process Job,Brian Kirchner/Snehal Antani,Meeting with Snehal/Brian/Neil 7/1/2014 at 11:00am. Working for Brian now.,07/01/14,12:58:23,Late
2014/05/30,07:44:31,2014/07/02,09:00:00,Personal,1,Louella Here Tomorrow!,Louella,Last minute things to do; but ready!,07/02/14,07:36:16,
