futuretense.ini[../cacmsmDev_fatwire] Properties,Compare,cmfalgadfw01v[cacmsmdev],cmfalgadfw01v[cacmsddev]
cs.csdtworkspace,,"cs_workspace","cs_workspace",""
cs.dataindatabase,,"false","false",""
cs.dbconnpicture,,"java\:comp/env/$dsn","java\:comp/env/$dsn",""
cs.dbencoding,,"UTF-8","UTF-8",""
cs.dbtype,,"Oracle10","Oracle10",""
cs.disksize,,"102400","102400",""
cs.documentation,,"http\://support.fatwire.com","http\://support.fatwire.com",""
cs.dsn,,"csDataSource","csDataSource",""
cs.emailaccount,,"","",""
cs.emailauthenticator,,"com.openmarket.framework.mail.ICSAuthenticator","com.openmarket.framework.mail.ICSAuthenticator",""
cs.emailcharset,,"UTF-8","UTF-8",""
cs.emailcontenttype,,"text/html; charset\=UTF-8","text/html; charset\=UTF-8",""
cs.emailhost,,"e2ksmtp01.e2k.ad.ge.com","e2ksmtp01.e2k.ad.ge.com",""
cs.emailpassword,,"","",""
cs.emailreturnto,,"FatWireContentServer@ge.com","FatWireContentServer@ge.com",""
cs.env,Difference,"dev","devdelivery",""
cs.eventhost,Difference,"http\://3.239.225.229\:8180","http\://3.239.225.229\:8280",""
cs.expireonly,,"true","true",""
cs.freezeCache,,"no","no",""
cs.httpvariables,,"false","false",""
cs.jspclear,,"false","false",""
cs.jsppath,,"/jsp/","/jsp/",""
cs.jsprefresh,,"","",""
cs.jspresponsewrapper,,"false","false",""
cs.jsproot,Difference,"/fwshare/j2ee/tomcat/redhat/ews/cacmsm_dev/webapps/cs/jsp","/fwshare/j2ee/tomcat/redhat/ews/cacmsd_dev/webapps/cs/jsp",""
cs.jspwork,,"","",""
cs.manage.expired.blob.inventory,,"true","true",""
cs.manageACL,,"","",""
#cs.manageUser,,"",,""
cs.manageUser,Difference,"com.elementsolutions.client.ge.ldapplugin.GEJNDILogin","",""
cs.manageUserAccess,,"","",""
cs.manageUserSystem,,"FutureTense","FutureTense",""
#cs.manageproperty,,"",,""
cs.manageproperty,Difference,"dir.ini","",""
cs.mirrorhttpversion,,"1.0","1.0",""
cs.mirrorpassword,,"f21d2debbdc5ef02a3b5fd475147e601","f21d2debbdc5ef02a3b5fd475147e601",""
cs.mirrorproxyserver,,"","",""
cs.mirrorproxyserverport,,"80","80",""
cs.mirrorrowsperpost,,"6","6",""
cs.mirrorthreads,,"2","2",""
cs.mirroruser,,"Publisher","Publisher",""
cs.nocache,,"false","false",""
cs.pgCacheTimeout,,"0","0",""
cs.pgcachefolder,Difference,"/fwshare/j2ee/tomcat/redhat/ews/cacmsmDev_fatwire/cache","/fwshare/j2ee/tomcat/redhat/ews/cacmsdDev_fatwire/cache",""
cs.pgexportfolder,Difference,"/fwshare/j2ee/tomcat/redhat/ews/cacmsmDev_fatwire/export","/fwshare/j2ee/tomcat/redhat/ews/cacmsdDev_fatwire/export",""
cs.privpassword,,"","",""
cs.privuser,,"","",""
cs.recordBlobInventory,,"true","true",""
cs.requiresessioncookies,,"true","true",""
cs.satellitehosts,,"","",""
cs.satellitepassword,,"","",""
cs.satelliteusers,,"","",""
cs.searchengine,,"_NONE_","_NONE_",""
cs.selfmodify,,"password","password",""
cs.session,,"true","true",""
cs.sitepreview,Difference,"delivery","disabled",""
cs.ssovalidator,,"com.fatwire.wem.sso.cas.cs.plugin.SSOValidatorPlugin","com.fatwire.wem.sso.cas.cs.plugin.SSOValidatorPlugin",""
cs.systemid,,"CSSystem","CSSystem",""
cs.timeout,,"1800","1800",""
cs.uniqueidpoolsize,,"100","100",""
cs.urlfilerollup,,"false","false",""
cs.use.short.jsp.names,,"false","false",""
cs.wrapper,,"false","false",""
cs.xmlHeader,,"<?xml version\=1.0 encoding\=UTF-8?>","<?xml version\=1.0 encoding\=UTF-8?>",""
cs.xmlHeaderAutoStream,,"false","false",""
cs.xmlfolder,Difference,"/fwshare/j2ee/tomcat/redhat/ews/cacmsmDev_fatwire/xmltemp","/fwshare/j2ee/tomcat/redhat/ews/cacmsdDev_fatwire/xmltemp",""
ft.approot,,"","",""
ft.catalogmanager,,"{40DD4E30-8DE2-11D1-8599-0080C7D07E91}","{40DD4E30-8DE2-11D1-8599-0080C7D07E91}",""
ft.cgipath,,"/cs/","/cs/",""
ft.contentserver,,"{29434AD0-8DE2-11D1-8599-0080C7D07E91}","{29434AD0-8DE2-11D1-8599-0080C7D07E91}",""
ft.debugport,,"1025","1025",""
ft.filecheck,,"no","no",""
ft.suppressPasswordNames,,"REMOTEPASS;pubtgt\:factors;factors","REMOTEPASS;pubtgt\:factors;factors",""
ft.suppressPasswords,,"true","true",""
ft.sync,,"mycluster","mycluster",""
ft.treemanager,,"{1903F070-96C9-11D2-B5E2-0010A4FD534E}","{1903F070-96C9-11D2-B5E2-0010A4FD534E}",""
ft.usedisksync,Difference,"/fwshare/j2ee/tomcat/redhat/ews/cacmsmDev_shared/clustersync","/fwshare/j2ee/tomcat/redhat/ews/cacmsdDev_shared/clustersync",""
ft.version,,"11.1.1.6.1","11.1.1.6.1",""
ft.xmldebug,,"yes","yes",""
hidden.encrypted,,"true","true",""
marketingstudio.version,,"11.1.1.6.0","11.1.1.6.0",""
ntlogin.DefaultACL,,"","",""
ntlogin.DefaultReaderACL,,"Browser","Browser",""
ntlogin.DefaultReaderID,,"DefaultReader","DefaultReader",""
ntlogin.DefaultReaderPW,,"SomeReader","SomeReader",""
ntlogin.LogFile,,"","",""
ntlogin.Logging,,"","",""
rsCacheOverInCache,,"true","true",""
satellite.blob.cachecontrol.default,,"","",""
searcheng.apidebug,,"no","no",""
searcheng.debug,,"no","no",""
searcheng.enginedebug,,"no","no",""
searcheng.keeptemps,,"no","no",""
searcheng.querydebug,,"no","no",""
searcheng.regdebug,,"no","no",""
searcheng.usedebugse,,"no","no",""
secure.CatalogManager,,"false","false",""
secure.DebugServer,,"true","true",""
secure.TreeManager,,"true","true",""
security.checkpagelets,,"true","true",""
singlesignon,,"true","true",""
soap.URLType,,"com.openmarket.basic.objects.URLType","com.openmarket.basic.objects.URLType",""
soap.binaryRowsType,,"com.openmarket.basic.objects.BinaryRowsType","com.openmarket.basic.objects.BinaryRowsType",""
soap.iList,,"com.openmarket.basic.objects.IList","com.openmarket.basic.objects.IList",""
soap.likeConstraint,,"com.openmarket.gator.objects.LikeConstraint","com.openmarket.gator.objects.LikeConstraint",""
soap.listRowsType,,"com.openmarket.basic.objects.ListRowsType","com.openmarket.basic.objects.ListRowsType",""
soap.nestedConstraint,,"com.openmarket.gator.objects.NestedConstraint","com.openmarket.gator.objects.NestedConstraint",""
soap.rangeConstraint,,"com.openmarket.gator.objects.RangeConstraint","com.openmarket.gator.objects.RangeConstraint",""
soap.richTextConstraint,,"com.openmarket.gator.objects.RichTextConstraint","com.openmarket.gator.objects.RichTextConstraint",""
soap.searchstate,,"com.openmarket.gator.objects.Searchstate","com.openmarket.gator.objects.Searchstate",""
soap.standardConstraint,,"com.openmarket.gator.objects.StandardConstraint","com.openmarket.gator.objects.StandardConstraint",""
soap.stringRowsType,,"com.openmarket.basic.objects.StringRowsType","com.openmarket.basic.objects.StringRowsType",""
soap.stringVarsType,,"com.openmarket.basic.objects.StringVarsType","com.openmarket.basic.objects.StringVarsType",""
soap.urlRowsType,,"com.openmarket.basic.objects.UrlRowsType","com.openmarket.basic.objects.UrlRowsType",""
ss.flushall,,"false","false",""
verity.charset,,"","",""
verity.debug,,"no","no",""
verity.defaultindex,,"","",""
verity.defaultparser,,"","",""
verity.indexinginterval,,"10000","10000",""
verity.knowledgebasepath,,"","",""
verity.locale,,"","",""
verity.organization,,"","",""
verity.path,,"c\:/FutureTense/VerityK2/common","c\:/FutureTense/VerityK2/common",""
verity.signature,,"","",""
verity.syncindexing,,"yes","yes",""
verity.templatepath,,"c\:/FutureTense/VerityK2/DefaultVerityStyles","c\:/FutureTense/VerityK2/DefaultVerityStyles",""
